name;lat;long
Old yundum school;13.369081799719048;-16.6797834
masroor SSS;13.369405599719087;-16.679389899999997
Abuko upper basic;13.398121299722245;-16.6608035
Kinderen van Lamin;13.387480599721073;-16.6374188
Scott`s Rainbow Nursery School;13.3904850997214;-16.6808323
Bymyra International school;13.413379199723925;-16.6879348
Sukuta Lower Basic School;13.416080699724226;-16.7054456
Buckinham school;13.398022899722235;-16.727378899999998
Bursubi;13.395541499721958;-16.73685
Brufut Lower Basic School;13.380835899720342;-16.7542599
Aja Fatou Bah Nursery School;13.383308499720613;-16.7488891
Brufut Senior Secondary School;13.397387999722163;-16.7474028
Brufut Upper and Senior Secondary School;13.396532199722069;-16.752236299999996
Ousman Bun Afan Basic Cycle And Senior Secondary School;13.35186879971716;-16.789154899999996
Tanji Lower Basic School;13.351418199717108;-16.7836911
Bendula Project;13.351255399717092;-16.783301799999997
Satang Diabang;12.927099999671551;-16.739629999999995
Saint Martin's School;13.091611799688971;-16.759783899999995
Kartong Youth Hall;13.091444799688954;-16.7592004
Arabic school;13.094247899689252;-16.7636549
Ecole Especial;12.559489199633882;-16.6990854
NULL;12.487421199626722;-16.5443473
Ecole Elémentaire Edouard Diatta;12.488192199626798;-16.5458193
Ecole primaire du Cap Skirring;12.390461999617203;-16.739613599999995
Ecole primaire Carrefour;12.37622819961582;-16.7252699
Collège d'Elinkine;12.511209399629074;-16.6510447
Ecole d'Elinkine;12.507091899628668;-16.663062099999998
École Tambanaba;12.673181699645337;-15.5519515
Lycée;12.833469199661787;-15.978297300000001
Marsassoum Elementary School;12.83118819966155;-15.976924200000001
Primary School;12.578673099635804;-16.1080599
Ecole primaire de Badiate-Grand;12.517599999629711;-16.3909
NULL;12.503424599628307;-16.3805514
Ecole;12.499199999627887;-16.342859999999998
Ecole Publique d'Affiniam;12.653083899643303;-16.363758
NULL;12.584089999636348;-16.2685238
Complexe TOuti;12.578081199635744;-16.266432399999996
Centre de Developpement des tous Petits;12.57530429963547;-16.269668299999996
daara zaîd ibn sabit;12.57686589963562;-16.2784971
Ecole primaire Badara Konte;12.576417199635578;-16.2788501
Ecole primaire Moussa Barry;12.576414899635584;-16.2783953
Association pour l'emploi et le developpement;12.574572299635392;-16.2879986
Ecole Privée Cheikh Sidou Ameth Aidara;12.573660699635303;-16.283897899999996
Madrassatoun Daaroul Hadith Borom Daradji;12.568206899634758;-16.2849933
Collège Aghora School;12.558166899633752;-16.2888569
Ecole Maternelle Publique de Néma;12.566381399634574;-16.2770882
Ecole de Formation en Hôtellerie;12.566016699634536;-16.2771166
Institut de beauté le Signard;12.56583199963452;-16.277107799999996
Collège Privé Nelson Mandéla;12.56942719963488;-16.2638183
Prescolaire Nayoncle;12.567638599634702;-16.2652841
Ecole Robert Sagna;12.566127799634549;-16.2643626
Case des Tout-Petits de KANDE ALASSANE;12.56796279963473;-16.2489747
NULL;12.569711799634906;-16.2527062
Ecole primaire Luck Mendy;12.57224139963516;-16.2525965
Institut Supérieur d'Entreprenership et de Gestion;12.576026899635538;-16.263317499999996
CEM Kandé;12.57512839963545;-16.2578062
Bassembo Diandy;12.576638699635598;-16.254557199999997
Ecole primaire de Goumel;12.583059099636245;-16.2516231
Collége de Goumel;12.582377899636175;-16.250822299999996
CEDNTRE DE FORMATION POLYTECHNIQUE DE SINDIAN;12.966680499675713;-16.1804744
COPI;12.967671299675816;-16.182025699999997
SINDIAN2;12.97065719967613;-16.1808474
Ecole Coranique Dahara Moderne;12.863265099664881;-15.944088399999998
Lower Basic School;13.189585599699491;-16.1799133
NULL;13.23599259970452;-16.0862446
NULL;13.170008699697387;-15.923231499999996
NULL;13.234363299704343;-15.915268099999997
Sibanor Lower Basic School;13.209581699701658;-16.1935668
